id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,possibly_sensitive,hashtags,original_author,user_mentions,followers_count,friends_count,place,place_coord_boundaries
1240589976871583746,Thu Mar 19 10:44:34 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DrTedros: The #COVID19 Solidarity Response Fund has now raised over US$43M from more than 173,000 individuals &amp; organizations, a few da…",The Solidarity Response Fund raised US 43M individuals amp organizations da,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,218,FinanceSC,,COVID19,DrTedros,126,224,,
1240473383604813826,Thu Mar 19 03:01:16 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @ThetaRayTeam: Great to see that The Seychelles have officially approved their revised 2020 #AML and #CFT regulations. https://t.co/iqwj…,Great see The Seychelles officially approved revised regulations,"Sentiment(polarity=0.8, subjectivity=0.75)",0.8,0.75,en,0,1,FinanceSC,,"AML, CFT",ThetaRayTeam,126,224,,
1240110958653181952,Wed Mar 18 03:01:07 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @OECDtax: Recently Released! #OECDTaxPolicyReviews #Seychelles🇸🇨 was launched via web-conference last week, Minister Loustau-Lalanne of…",Recently Released launched via web-conference last week Minister Loustau-Lalanne,"Sentiment(polarity=0.0, subjectivity=0.15833333333333333)",0.0,0.15833333333333333,en,0,3,FinanceSC,,"OECDTaxPolicyReviews, Seychelles",OECDtax,126,224,,
1239876890778832896,Tue Mar 17 11:31:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#Seychelles 2020 Budget to be revised to deal with global #coronavirus pandemic: https://t.co/WiYlXSUGdx,Budget revised deal global pandemic,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,False,"Seychelles, coronavirus",,126,224,,
1239876652160729089,Tue Mar 17 11:30:04 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Thank you to everyone who attended the @OECD official launch of the #Seychelles 2020 OECD #Tax Policy Review. 
You… https://t.co/TOpfJwwAtn",Thank everyone attended official launch OECD Policy Review You,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,FinanceSC,False,"Seychelles, Tax",OECD,126,224,,
1239876292163534848,Tue Mar 17 11:28:38 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The National Anti-Money Laundering and Countering the Financing of Terrorism Committee says the new AML/CFT and Ben… https://t.co/jW0vnp4L6S,The National Anti-Money Laundering Countering Financing Terrorism Committee says new AML/CFT Ben,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.4545454545454545,en,0,0,FinanceSC,False,,,126,224,,
1239875864092958720,Tue Mar 17 11:26:56 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",The President of Seychelles assented to two vital pieces of legislation to keep Seychelles in line with internation… https://t.co/sugEFpMIf4,The President Seychelles assented two vital pieces legislation keep Seychelles line internation,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,0,0,FinanceSC,False,,,126,224,,
1239875680587964416,Tue Mar 17 11:26:12 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The #Seychelles Ministry of Finance, Trade, Investment and Economic Planning has joined Twitter! Visit our website… https://t.co/NJtIeuWTqM",The Ministry Finance Trade Investment Economic Planning joined Twitter Visit website,"Sentiment(polarity=0.2, subjectivity=0.2)",0.2,0.2,en,0,0,FinanceSC,False,Seychelles,,126,224,,
1284074049203773440,Fri Jul 17 10:34:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Government is pleased to announce that the Minister of Defence and Military Veterans, Ms Nosiviwe Mapisa-Nqakula (M… https://t.co/3EuLJcrFDL",Government pleased announce Minister Defence Military Veterans Ms Nosiviwe Mapisa-Nqakula M,"Sentiment(polarity=0.2, subjectivity=0.55)",0.2,0.55,en,127,33,PresidencyZA,False,,,1597498,14,,"Pretoria, South Africa"
1284070236313001991,Fri Jul 17 10:19:35 +0000 2020,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","As South Africa approaches the peak of coronavirus infections, it is vital that we take extra precautions and tight… https://t.co/97vHGyMpcV",As South Africa approaches peak coronavirus infections vital take extra precautions tight,"Sentiment(polarity=-0.02619047619047619, subjectivity=0.2619047619047619)",-0.02619047619047619,0.2619047619047619,en,32,14,PresidencyZA,False,,,1597498,14,,"Pretoria, South Africa"
1283780351635185665,Thu Jul 16 15:07:41 +0000 2020,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Deputy President David @DDMabuza today convened and chaired a virtual meeting of the Inter-Ministerial Committee of… https://t.co/aMtpII6SCD,Deputy President David today convened chaired virtual meeting Inter-Ministerial Committee,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,37,10,PresidencyZA,False,,DDMabuza,1597498,14,,"Pretoria, South Africa"
1283660894522822656,Thu Jul 16 07:13:01 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Deputy President @DDMabuza will today chair the Inter-Ministerial Committee of the South African National Aids Coun… https://t.co/pa7lmj0BHQ,Deputy President today chair Inter-Ministerial Committee South African National Aids Coun,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,148,35,PresidencyZA,,,DDMabuza,1597498,14,,"Pretoria, South Africa"
1283452166145966083,Wed Jul 15 17:23:36 +0000 2020,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",President @CyrilRamaphosa is in conversation with South Africans this evening as the second virtual Presidential Im… https://t.co/Lp7DqKyqwl,President conversation South Africans evening second virtual Presidential Im,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,61,13,PresidencyZA,False,,CyrilRamaphosa,1597498,14,,"Pretoria, South Africa"
1283448451007688705,Wed Jul 15 17:08:50 +0000 2020,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",President @CyrilRamaphosa is in conversation with South Africans this evening as the second virtual Presidential Im… https://t.co/i00Lfh4IAA,President conversation South Africans evening second virtual Presidential Im,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,74,16,PresidencyZA,False,,CyrilRamaphosa,1597498,14,,"Pretoria, South Africa"
